# ngc288 E(B-V)=0.03, (m-M)_0 = 14.84
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/16/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
187	00 52 17.029	-26 43 16.55	-0.21	2.14	2.08	2.29	17.0472	16.9608	17.1394	17.3203	1	0
473	00 52 27.422	-26 39 00.59	-0.08	1.64	0.94	1.02	16.5475	15.8143	15.8633	15.9433	1	0
888	00 52 29.680	-26 38 30.00	-0.16	1.90	1.55	1.71	16.8010	16.4363	16.5619	16.7032	1	1
1571	00 52 35.775	-26 37 52.85	-0.16	1.71	1.47	1.63	16.6102	16.3542	16.4754	16.6296	1	0
3088	00 52 37.512	-26 36 50.03	-0.10	1.67	1.07	1.17	16.5785	15.9502	16.0189	16.1210	1	0
4311	00 52 38.697	-26 35 58.93	-0.63	6.39	4.33	4.97	21.2969	19.2394	19.8229	19.3717	0	1
4830	00 52 40.713	-26 35 58.78	-0.16	1.94	1.72	1.88	16.8415	16.6054	16.7302	16.8805	1	1
4915	00 52 40.978	-26 35 35.06	-0.46	4.14	3.65	4.11	19.0435	18.5466	18.9638	18.2076	0	1
5346	00 52 43.748	-26 35 07.96	-0.15	1.87	1.44	1.59	16.7764	16.3246	16.4369	16.5037	1	1
5495	00 52 45.706	-26 35 00.02	-0.16	1.90	1.76	1.92	16.8064	16.6456	16.7719	16.9702	1	1
5749	00 52 46.065	-26 34 31.45	-0.24	2.39	2.30	2.54	17.2970	17.1867	17.3857	17.4489	1	1
6008	00 52 46.449	-26 34 08.10	-0.09	1.68	0.98	1.07	16.5827	15.8592	15.9152	16.0092	1	1
7252	00 52 46.681	-26 33 54.26	-0.40	85.09	4.71	5.11	99.9999	19.6053	19.9649	19.0276	0	1
8841	00 52 47.377	-26 33 52.92	-0.13	1.68	1.19	1.32	16.5843	16.0672	16.1666	16.3023	1	1
9008	00 52 47.383	-26 33 52.33	-0.13	1.84	0.99	1.12	16.7462	15.8681	15.9645	15.9138	1	1
9887	00 52 48.386	-26 33 42.61	-0.13	1.58	0.97	1.09	16.4826	15.8500	15.9422	16.0595	1	1
10340	00 52 50.578	-26 33 31.90	-0.40	3.62	4.10	4.50	18.5221	18.9922	19.3544	19.7966	1	1
10867	00 52 55.618	-26 33 26.00	-0.86	4.63	4.17	5.03	19.5412	19.0843	19.8888	19.1689	0	1
12029	00 52 59.347	-26 32 58.72	-0.10	1.92	1.02	1.12	16.8224	15.9016	15.9688	15.9833	1	0
12260	00 53 04.174	-26 31 34.85	-0.14	1.85	1.41	1.55	16.7576	16.2906	16.3951	16.5174	1	0
12810	00 53 10.548	-26 30 50.10	-0.46	5.94	4.88	5.35	20.8435	19.7786	20.1987	19.3953	0	0
