# M80 E(B-V)=0.18, (m-M)_0 = 15.56
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/17/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
1029	16 16 52.095	-23 01 48.79	-0.34	3.56	3.77	4.11	19.5024	19.5547	19.7091	99.9999	1	0
1139	16 16 52.697	-23 00 52.02	-0.08	1.71	1.18	1.26	17.6466	16.9535	16.8572	16.6953	1	0
1706	16 16 55.749	-23 00 44.08	-0.25	2.84	2.86	3.11	18.7798	18.6382	18.7045	18.6784	1	0
1995	16 16 58.011	-23 00 12.62	-0.33	3.39	3.62	3.95	19.3327	19.4030	19.5480	19.7217	1	1
2008	16 16 58.402	-23 00 12.30	-0.17	1.74	1.73	1.90	17.6775	17.5107	17.5009	17.4139	1	1
2321	16 16 59.655	-22 59 48.26	-0.36	3.15	3.32	3.68	19.0890	19.1061	19.2771	18.7732	0	1
2786	16 16 59.774	-22 59 23.09	-0.29	3.17	3.50	3.79	19.1098	19.2835	19.3895	19.6449	1	0
2991	16 17 00.335	-22 59 20.21	-0.16	0.62	0.57	0.72	16.5588	16.3426	16.3206	16.2526	1	1
3103	16 17 00.521	-22 59 01.69	-0.27	1.67	1.85	2.12	17.6078	17.6330	17.7213	99.9999	1	0
3108	16 17 00.845	-22 58 55.43	-0.19	1.67	1.88	2.07	17.6149	17.6593	17.6689	17.6371	1	1
3411	16 17 01.700	-22 58 48.82	-0.03	1.06	0.17	0.21	16.9971	15.9400	15.8001	99.9999	1	1
4862	16 17 03.209	-22 58 48.71	-0.12	-1.26	-1.44	-1.32	14.6851	14.3309	14.2780	14.1538	1	1
5815	16 17 04.208	-22 58 37.91	-0.09	2.00	0.92	1.01	17.9456	16.6865	16.6004	16.1283	0	0
7338	16 17 06.228	-22 58 33.27	-0.20	1.58	0.89	1.08	17.5262	16.6639	16.6808	15.8997	0	1
8112	16 17 06.805	-22 58 28.61	-0.02	1.63	1.22	1.24	17.5706	16.9849	16.8306	16.3391	1	0
8385	16 17 06.809	-22 58 23.60	-0.46	3.57	2.95	3.41	19.5141	18.7430	19.0104	18.0831	0	0
8514	16 17 07.000	-22 58 23.11	-0.04	1.89	0.91	0.95	17.8312	16.6779	16.5441	15.9997	0	0
8939	16 17 07.449	-22 58 05.46	-0.08	0.43	-0.05	0.03	16.3667	15.7246	15.6254	15.4706	1	1
9071	16 17 08.802	-22 57 57.08	-0.01	1.48	0.48	0.49	17.4218	16.2447	16.0853	15.4338	0	1
9810	16 17 10.248	-22 57 53.72	-0.29	3.45	3.51	3.79	19.3880	19.2893	19.3934	99.9999	1	1
10002	16 17 10.301	-22 57 41.22	-0.02	0.72	-0.38	-0.36	16.6565	15.3817	15.2291	14.9347	1	0
10770	16 17 12.045	-22 57 38.83	-0.35	3.44	3.73	4.08	19.3860	19.5165	19.6797	19.5265	0	0
11227	16 17 19.898	-22 57 18.54	-0.30	2.81	3.23	3.53	18.7505	19.0155	19.1278	19.0854	1	0
11293	16 17 22.442	-22 56 16.85	-0.32	3.64	3.99	4.31	19.5832	19.7732	19.9097	19.8522	1	0
