# M68 E(B-V)=0.05, (m-M)_0 = 15.21
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/17/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
247	12 39 18.738	-26 50 32.61	-0.04	1.86	1.05	1.09	17.1883	16.3293	16.3223	16.3285	1	0
419	12 39 19.637	-26 48 49.19	-0.04	1.85	1.08	1.12	17.1779	16.3575	16.3508	16.3505	1	1
1232	12 39 20.267	-26 45 53.70	-0.31	4.46	3.58	3.90	19.7838	18.8753	19.1301	18.4150	0	1
1698	12 39 21.420	-26 45 24.38	-0.05	1.84	0.97	1.02	17.1618	16.2469	16.2513	16.2245	1	1
2017	12 39 22.758	-26 45 10.77	-0.00	1.64	0.58	0.58	16.9699	15.8552	15.8074	15.7476	1	1
2045	12 39 23.226	-26 45 09.23	-0.57	3.89	3.26	3.83	19.2184	18.5634	19.0666	17.8848	0	1
2052	12 39 24.520	-26 45 09.09	-0.24	3.63	3.14	3.38	18.9595	18.4284	18.6132	17.8457	0	1
2098	12 39 26.076	-26 45 06.18	-0.08	1.87	1.05	1.14	17.1913	16.3335	16.3666	16.3650	1	1
2486	12 39 26.456	-26 44 55.12	-0.02	1.73	0.68	0.70	17.0550	15.9628	15.9290	15.8722	1	1
2648	12 39 26.528	-26 44 49.34	-0.03	1.80	1.04	1.07	17.1235	16.3210	16.3013	16.3047	1	1
2668	12 39 28.008	-26 44 49.27	-0.04	1.79	0.91	0.94	17.1178	16.1884	16.1742	16.1417	1	1
3001	12 39 28.543	-26 44 38.92	-0.05	1.75	0.87	0.92	17.0715	16.1458	16.1459	16.0545	1	1
3022	12 39 28.890	-26 44 38.73	-0.07	1.84	1.03	1.10	17.1668	16.3139	16.3302	16.3356	1	1
3148	12 39 29.875	-26 44 34.41	-0.32	4.72	4.04	4.36	20.0422	19.3352	19.5941	18.9046	0	1
3502	12 39 30.119	-26 44 22.40	-0.01	1.53	0.48	0.49	16.8566	15.7575	15.7201	15.4913	1	1
4001	12 39 37.407	-26 44 04.27	-0.04	1.81	1.00	1.04	17.1369	16.2781	16.2705	16.2722	1	0
4755	12 39 39.560	-26 43 21.94	-0.18	1.48	0.46	0.64	16.8110	15.7460	15.8709	15.3841	0	0
